DEPTH_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth (m),,,,,,,,,,,,,,,,,,
DEPTH_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth Min (m),Depth Max (m),Depth Mean (m),Sample Count,Accumulation Period (s),,,,,,,,,,,,,,
TEMP_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient (deg C),Internal (deg C),,,,,,,,,,,,,,,,,
TEMP_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Min (deg C),Ambient Max (deg C),Ambient Mean (deg C),Sample Count,Accumulation Period (s),,,,,,,,,,,,,,
DATA_SOURCE_FILE,VR2AR-69 555438 2026-01-20 103659.vdat,d0d7fc34-0ef2-4e68-9677-21e3e4e88413,com.vemco.file.vrdp.vr2ar/1.0.0,143490,ORIGINAL,,,,,,,,,,,,,,,,,,,,
TEMP,2024-11-09 17:00,59:58.7,,-1.255765736,VR2AR-69,555438,9.461,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-09 17:00,59:58.7,,-1.255765736,VR2AR-69,555438,13,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-09 17:00,59:58.7,,-1.255765736,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-09 18:00,59:58.7,,-1.273384474,VR2AR-69,555438,9.481,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-09 18:00,59:58.7,,-1.273384474,VR2AR-69,555438,15,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-09 18:00,59:58.7,,-1.273384474,VR2AR-69,555438,6,,,,,,,,,,,,,,,,,,
TEMP,2024-11-09 19:00,59:58.7,,-1.291003212,VR2AR-69,555438,9.542,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-09 19:00,59:58.7,,-1.291003212,VR2AR-69,555438,16,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-09 19:00,59:58.7,,-1.291003212,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-09 20:00,59:58.7,,-1.308621949,VR2AR-69,555438,9.786,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-09 20:00,59:58.7,,-1.308621949,VR2AR-69,555438,17,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-09 20:00,59:58.7,,-1.308621949,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-09 21:00,59:58.7,,-1.326240687,VR2AR-69,555438,9.623,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-09 21:00,59:58.7,,-1.326240687,VR2AR-69,555438,17,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-09 21:00,59:58.7,,-1.326240687,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-09 22:00,59:58.7,,-1.343859424,VR2AR-69,555438,9.644,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-09 22:00,59:58.7,,-1.343859424,VR2AR-69,555438,17,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-09 22:00,59:58.7,,-1.343859424,VR2AR-69,555438,6,,,,,,,,,,,,,,,,,,
TEMP,2024-11-09 23:00,59:58.6,,-1.361478162,VR2AR-69,555438,9.563,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-09 23:00,59:58.6,,-1.361478162,VR2AR-69,555438,17,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-09 23:00,59:58.6,,-1.361478162,VR2AR-69,555438,6,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 0:00,59:58.6,,-1.3790969,VR2AR-69,555438,9.502,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 0:00,59:58.6,,-1.3790969,VR2AR-69,555438,16,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 0:00,59:58.6,,-1.3790969,VR2AR-69,555438,6,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 1:00,59:58.6,,-1.396715637,VR2AR-69,555438,9.522,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 1:00,59:58.6,,-1.396715637,VR2AR-69,555438,15,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 1:00,59:58.6,,-1.396715637,VR2AR-69,555438,6,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 2:00,59:58.6,,-1.414334375,VR2AR-69,555438,9.481,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 2:00,59:58.6,,-1.414334375,VR2AR-69,555438,14,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 2:00,59:58.6,,-1.414334375,VR2AR-69,555438,6,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 3:00,59:58.6,,-1.431953113,VR2AR-69,555438,9.461,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 3:00,59:58.6,,-1.431953113,VR2AR-69,555438,13,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 3:00,59:58.6,,-1.431953113,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 4:00,59:58.5,,-1.44957185,VR2AR-69,555438,9.563,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 4:00,59:58.5,,-1.44957185,VR2AR-69,555438,12,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 4:00,59:58.5,,-1.44957185,VR2AR-69,555438,6,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 5:00,59:58.5,,-1.467190588,VR2AR-69,555438,9.542,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 5:00,59:58.5,,-1.467190588,VR2AR-69,555438,13,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 5:00,59:58.5,,-1.467190588,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 6:00,59:58.5,,-1.484809325,VR2AR-69,555438,9.542,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 6:00,59:58.5,,-1.484809325,VR2AR-69,555438,14,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 6:00,59:58.5,,-1.484809325,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 7:00,59:58.5,,-1.502428063,VR2AR-69,555438,9.542,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 7:00,59:58.5,,-1.502428063,VR2AR-69,555438,15,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 7:00,59:58.5,,-1.502428063,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 8:00,59:58.5,,-1.520046801,VR2AR-69,555438,9.542,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 8:00,59:58.5,,-1.520046801,VR2AR-69,555438,16,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 8:00,59:58.5,,-1.520046801,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 9:00,59:58.5,,-1.537665538,VR2AR-69,555438,9.583,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 9:00,59:58.5,,-1.537665538,VR2AR-69,555438,17,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 9:00,59:58.5,,-1.537665538,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 10:00,59:58.4,,-1.555284276,VR2AR-69,555438,9.644,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 10:00,59:58.4,,-1.555284276,VR2AR-69,555438,17,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 10:00,59:58.4,,-1.555284276,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 11:00,59:58.4,,-1.572903014,VR2AR-69,555438,9.644,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 11:00,59:58.4,,-1.572903014,VR2AR-69,555438,17,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 11:00,59:58.4,,-1.572903014,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 12:00,59:58.4,,-1.590521751,VR2AR-69,555438,9.542,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 12:00,59:58.4,,-1.590521751,VR2AR-69,555438,16,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 12:00,59:58.4,,-1.590521751,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 13:00,59:58.4,,-1.608140489,VR2AR-69,555438,9.583,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 13:00,59:58.4,,-1.608140489,VR2AR-69,555438,16,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 13:00,59:58.4,,-1.608140489,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 14:00,59:58.4,,-1.625759226,VR2AR-69,555438,9.684,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 14:00,59:58.4,,-1.625759226,VR2AR-69,555438,14,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 14:00,59:58.4,,-1.625759226,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 15:00,59:58.4,,-1.643377964,VR2AR-69,555438,9.766,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 15:00,59:58.4,,-1.643377964,VR2AR-69,555438,13,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 15:00,59:58.4,,-1.643377964,VR2AR-69,555438,5,,,,,,,,,,,,,,,,,,
TEMP,2024-11-10 16:00,59:58.3,,-1.660996702,VR2AR-69,555438,9.806,,,,,,,,,,,,,,,,,,
DEPTH,2024-11-10 16:00,59:58.3,,-1.660996702,VR2AR-69,555438,13,,,,,,,,,,,,,,,,,,
ATTITUDE,2024-11-10 16:00,59:58.3,,-1.660996702,VR2AR-69,555438,1,,,,,,,,,,,,,,,,,,
TEMP,2025-07-03 14:00,58:19.0,,-100.9954394,VR2AR-69,555438,17.151,,,,,,,,,,,,,,,,,,
DEPTH,2025-07-03 14:00,58:19.0,,-100.9954394,VR2AR-69,555438,0,,,,,,,,,,,,,,,,,,
ATTITUDE,2025-07-03 14:00,58:19.0,,-100.9954394,VR2AR-69,555438,101,,,,,,,,,,,,,,,,,,
TEMP,2025-07-03 15:00,58:19.0,,-101.0130582,VR2AR-69,555438,18.946,,,,,,,,,,,,,,,,,,
DEPTH,2025-07-03 15:00,58:19.0,,-101.0130582,VR2AR-69,555438,0,,,,,,,,,,,,,,,,,,
ATTITUDE,2025-07-03 15:00,58:19.0,,-101.0130582,VR2AR-69,555438,83,,,,,,,,,,,,,,,,,,
CLOCK_REF,2026-01-20 14:40,2026-01-20 14:40,,0,VR2AR-69,555438,2026-01-20 14:36,-186,OFFLOAD,,,,,,,,,,,,,,,,
